Datetime,Direction
2023-04-18 00:00:52+00:00,Entry/Exit
2023-04-18 00:01:45+00:00,Entry/Exit
2023-04-18 00:02:11+00:00,Entry/Exit
2023-04-18 00:03:47+00:00,Entry/Exit
2023-04-18 00:04:21+00:00,Entry/Exit
2023-04-18 00:04:45+00:00,Entry/Exit
2023-04-18 00:05:16+00:00,Entry/Exit
2023-04-18 00:06:45+00:00,Entry/Exit
2023-04-18 00:07:16+00:00,Entry/Exit
2023-04-18 00:08:04+00:00,Entry/Exit
2023-04-18 00:10:53+00:00,Entry/Exit
2023-04-18 00:11:56+00:00,Entry/Exit
2023-04-18 00:13:25+00:00,Entry/Exit
2023-04-18 00:14:22+00:00,Entry/Exit
2023-04-18 00:19:15+00:00,Entry/Exit
2023-04-18 00:23:29+00:00,Entry/Exit
2023-04-18 00:24:57+00:00,Entry/Exit
2023-04-18 00:26:51+00:00,Entry/Exit
2023-04-18 00:27:50+00:00,Entry/Exit
2023-04-18 00:29:12+00:00,Entry/Exit
2023-04-18 00:32:37+00:00,Entry/Exit
2023-04-18 00:33:58+00:00,Entry/Exit
2023-04-18 00:34:40+00:00,Entry/Exit
2023-04-18 00:35:59+00:00,Entry/Exit
2023-04-18 00:36:24+00:00,Entry/Exit
2023-04-18 00:37:23+00:00,Entry/Exit
2023-04-18 00:37:51+00:00,Entry/Exit
2023-04-18 00:40:20+00:00,Entry/Exit
2023-04-18 00:40:43+00:00,Entry/Exit
2023-04-18 00:41:07+00:00,Entry/Exit
2023-04-18 00:41:37+00:00,Entry/Exit
2023-04-18 00:42:52+00:00,Entry/Exit
2023-04-18 00:45:04+00:00,Entry/Exit
2023-04-18 00:47:17+00:00,Entry/Exit
2023-04-18 00:47:38+00:00,Entry/Exit
2023-04-18 00:49:03+00:00,Entry/Exit
2023-04-18 00:50:55+00:00,Entry/Exit
2023-04-18 00:52:19+00:00,Entry/Exit
2023-04-18 00:53:14+00:00,Entry/Exit
2023-04-18 00:55:08+00:00,Entry/Exit
2023-04-18 00:58:30+00:00,Entry/Exit
2023-04-18 00:58:54+00:00,Entry/Exit
2023-04-18 00:59:06+00:00,Entry/Exit
2023-04-18 01:01:34+00:00,Entry/Exit
2023-04-18 01:03:45+00:00,Entry/Exit
2023-04-18 01:05:04+00:00,Entry/Exit
2023-04-18 01:07:06+00:00,Entry/Exit
2023-04-18 01:08:24+00:00,Entry/Exit
2023-04-18 01:10:01+00:00,Entry/Exit
2023-04-18 01:10:18+00:00,Entry/Exit
2023-04-18 01:10:45+00:00,Entry/Exit
2023-04-18 01:12:00+00:00,Entry/Exit
2023-04-18 01:12:25+00:00,Entry/Exit
2023-04-18 01:12:43+00:00,Entry/Exit
2023-04-18 01:13:07+00:00,Entry/Exit
2023-04-18 01:16:10+00:00,Entry/Exit
2023-04-18 01:16:59+00:00,Entry/Exit
2023-04-18 01:17:33+00:00,Entry/Exit
2023-04-18 01:20:32+00:00,Entry/Exit
2023-04-18 01:22:18+00:00,Entry/Exit
2023-04-18 01:23:11+00:00,Entry/Exit
2023-04-18 01:24:48+00:00,Entry/Exit
2023-04-18 01:25:09+00:00,Entry/Exit
2023-04-18 01:25:39+00:00,Entry/Exit
2023-04-18 01:26:46+00:00,Entry/Exit
2023-04-18 01:28:00+00:00,Entry/Exit
2023-04-18 01:28:39+00:00,Entry/Exit
2023-04-18 01:29:00+00:00,Entry/Exit
2023-04-18 01:30:00+00:00,Entry/Exit
2023-04-18 01:33:22+00:00,Entry/Exit
2023-04-18 01:33:57+00:00,Entry/Exit
2023-04-18 01:35:42+00:00,Entry/Exit
2023-04-18 01:36:57+00:00,Entry/Exit
2023-04-18 01:39:41+00:00,Entry/Exit
2023-04-18 01:49:31+00:00,Entry/Exit
2023-04-18 01:49:55+00:00,Entry/Exit
2023-04-18 01:55:00+00:00,Entry/Exit
2023-04-18 01:55:17+00:00,Entry/Exit
2023-04-18 01:56:36+00:00,Entry/Exit
2023-04-18 01:58:27+00:00,Entry/Exit
2023-04-18 02:01:40+00:00,Entry/Exit
2023-04-18 02:02:30+00:00,Entry/Exit
2023-04-18 02:04:41+00:00,Entry/Exit
2023-04-18 02:06:20+00:00,Entry/Exit
2023-04-18 02:08:15+00:00,Entry/Exit
2023-04-18 02:14:38+00:00,Entry/Exit
2023-04-18 02:16:29+00:00,Entry/Exit
2023-04-18 02:19:55+00:00,Entry/Exit
2023-04-18 02:20:12+00:00,Entry/Exit
2023-04-18 02:22:51+00:00,Entry/Exit
2023-04-18 02:25:15+00:00,Entry/Exit
2023-04-18 02:28:57+00:00,Entry/Exit
2023-04-18 02:31:11+00:00,Entry/Exit
2023-04-18 02:32:45+00:00,Entry/Exit
2023-04-18 02:33:45+00:00,Entry/Exit
2023-04-18 02:37:20+00:00,Entry/Exit
2023-04-18 02:37:46+00:00,Entry/Exit
2023-04-18 02:38:03+00:00,Entry/Exit
2023-04-18 02:38:51+00:00,Entry/Exit
2023-04-18 02:40:48+00:00,Entry/Exit
2023-04-18 02:42:18+00:00,Entry/Exit
2023-04-18 02:43:30+00:00,Entry/Exit
2023-04-18 02:47:13+00:00,Entry/Exit
2023-04-18 02:49:33+00:00,Entry/Exit
2023-04-18 02:53:36+00:00,Entry/Exit
2023-04-18 02:55:40+00:00,Entry/Exit
2023-04-18 02:57:48+00:00,Entry/Exit
2023-04-18 02:59:43+00:00,Entry/Exit
2023-04-18 03:01:49+00:00,Entry/Exit
2023-04-18 03:03:26+00:00,Entry/Exit
2023-04-18 03:09:21+00:00,Entry/Exit
2023-04-18 03:12:26+00:00,Entry/Exit
2023-04-18 03:13:38+00:00,Entry/Exit
2023-04-18 03:19:38+00:00,Entry/Exit
2023-04-18 03:21:03+00:00,Entry/Exit
2023-04-18 03:25:36+00:00,Entry/Exit
2023-04-18 03:26:52+00:00,Entry/Exit
2023-04-18 03:30:54+00:00,Entry/Exit
2023-04-18 03:32:29+00:00,Entry/Exit
2023-04-18 03:34:24+00:00,Entry/Exit
2023-04-18 03:45:15+00:00,Entry/Exit
2023-04-18 03:45:50+00:00,Entry/Exit
2023-04-18 03:52:11+00:00,Entry/Exit
2023-04-18 03:55:35+00:00,Entry/Exit
2023-04-18 03:58:14+00:00,Entry/Exit
2023-04-18 03:58:50+00:00,Entry/Exit
2023-04-18 03:59:09+00:00,Entry/Exit
2023-04-18 04:02:18+00:00,Entry/Exit
2023-04-18 04:04:57+00:00,Entry/Exit
2023-04-18 04:17:26+00:00,Entry/Exit
2023-04-18 04:17:41+00:00,Entry/Exit
2023-04-18 04:20:48+00:00,Entry/Exit
2023-04-18 04:23:18+00:00,Entry/Exit
2023-04-18 04:29:57+00:00,Entry/Exit
