Datetime,Direction
2023-02-23 07:29:49+00:00,Entry
2023-02-23 07:30:19+00:00,Entry
2023-02-23 07:32:51+00:00,Entry
2023-02-23 07:36:43+00:00,Entry
2023-02-23 07:36:44+00:00,Entry
2023-02-23 07:36:50+00:00,Entry
2023-02-23 07:36:50+00:00,Entry
2023-02-23 07:38:57+00:00,Entry
2023-02-23 07:44:07+00:00,Entry
2023-02-23 07:44:08+00:00,Entry
2023-02-23 07:59:20+00:00,Entry
2023-02-23 07:59:25+00:00,Entry
2023-02-23 08:05:37+00:00,Entry
2023-02-23 08:10:58+00:00,Entry
2023-02-23 08:18:07+00:00,Entry
2023-02-23 08:18:11+00:00,Entry
2023-02-23 08:19:35+00:00,Entry
2023-02-23 08:20:02+00:00,Entry
2023-02-23 08:25:52+00:00,Entry
2023-02-23 08:28:02+00:00,Entry
2023-02-23 08:29:26+00:00,Entry
2023-02-23 08:34:04+00:00,Entry
2023-02-23 08:34:13+00:00,Exit
2023-02-23 08:38:20+00:00,Exit
2023-02-23 08:40:23+00:00,Entry
2023-02-23 08:47:03+00:00,Exit
2023-02-23 08:48:14+00:00,Entry
2023-02-23 08:54:26+00:00,Entry
2023-02-23 08:54:30+00:00,Entry
2023-02-23 08:54:34+00:00,Entry
2023-02-23 08:54:41+00:00,Entry
2023-02-23 08:54:56+00:00,Entry
2023-02-23 08:54:59+00:00,Entry
2023-02-23 08:54:59+00:00,Entry
2023-02-23 08:55:01+00:00,Entry
2023-02-23 08:55:04+00:00,Entry
2023-02-23 08:55:07+00:00,Entry
2023-02-23 08:55:14+00:00,Entry
2023-02-23 08:55:15+00:00,Entry
2023-02-23 08:55:15+00:00,Entry
2023-02-23 08:55:17+00:00,Entry
2023-02-23 08:55:21+00:00,Entry
2023-02-23 08:55:26+00:00,Entry
2023-02-23 08:55:30+00:00,Entry
2023-02-23 08:55:31+00:00,Entry
2023-02-23 08:55:32+00:00,Entry
2023-02-23 08:55:36+00:00,Entry
2023-02-23 08:55:38+00:00,Entry
2023-02-23 08:55:39+00:00,Entry
2023-02-23 08:55:53+00:00,Entry
2023-02-23 08:55:56+00:00,Entry
2023-02-23 08:55:58+00:00,Entry
2023-02-23 08:56:01+00:00,Entry
2023-02-23 08:56:19+00:00,Entry
2023-02-23 08:56:39+00:00,Entry
2023-02-23 08:56:50+00:00,Entry
2023-02-23 08:57:09+00:00,Entry
2023-02-23 08:57:39+00:00,Entry
2023-02-23 08:57:45+00:00,Entry
2023-02-23 08:57:56+00:00,Entry
2023-02-23 08:58:27+00:00,Entry
2023-02-23 08:58:42+00:00,Entry
2023-02-23 08:59:58+00:00,Entry
2023-02-23 09:00:20+00:00,Entry
2023-02-23 09:00:24+00:00,Entry
2023-02-23 09:00:46+00:00,Entry
2023-02-23 09:00:56+00:00,Entry
2023-02-23 09:00:58+00:00,Exit
2023-02-23 09:01:06+00:00,Entry
2023-02-23 09:01:09+00:00,Entry
2023-02-23 09:01:14+00:00,Entry
2023-02-23 09:01:15+00:00,Entry
2023-02-23 09:01:23+00:00,Entry
2023-02-23 09:01:44+00:00,Entry
2023-02-23 09:01:49+00:00,Entry
2023-02-23 09:02:01+00:00,Entry
2023-02-23 09:02:28+00:00,Entry
2023-02-23 09:03:13+00:00,Entry
2023-02-23 09:03:19+00:00,Entry
2023-02-23 09:03:40+00:00,Entry
2023-02-23 09:03:46+00:00,Entry
2023-02-23 09:04:02+00:00,Entry
2023-02-23 09:04:05+00:00,Entry
2023-02-23 09:04:15+00:00,Entry
2023-02-23 09:04:18+00:00,Entry
2023-02-23 09:04:45+00:00,Entry
2023-02-23 09:04:59+00:00,Exit
2023-02-23 09:05:10+00:00,Entry
2023-02-23 09:05:39+00:00,Entry
2023-02-23 09:06:17+00:00,Entry
2023-02-23 09:06:36+00:00,Entry
2023-02-23 09:06:42+00:00,Entry
2023-02-23 09:07:07+00:00,Entry
2023-02-23 09:07:18+00:00,Entry
2023-02-23 09:08:03+00:00,Entry
2023-02-23 09:10:00+00:00,Entry
2023-02-23 09:10:01+00:00,Entry
2023-02-23 09:10:31+00:00,Entry
2023-02-23 09:11:38+00:00,Entry
2023-02-23 09:11:45+00:00,Entry
2023-02-23 09:11:51+00:00,Entry
2023-02-23 09:11:52+00:00,Entry
2023-02-23 09:11:57+00:00,Entry
2023-02-23 09:12:06+00:00,Entry
2023-02-23 09:12:09+00:00,Entry
2023-02-23 09:12:38+00:00,Entry
2023-02-23 09:12:49+00:00,Exit
2023-02-23 09:12:55+00:00,Entry
2023-02-23 09:13:00+00:00,Entry
2023-02-23 09:13:11+00:00,Entry
2023-02-23 09:14:17+00:00,Entry
2023-02-23 09:14:18+00:00,Entry
2023-02-23 09:14:22+00:00,Entry
2023-02-23 09:14:33+00:00,Entry
2023-02-23 09:14:39+00:00,Entry
2023-02-23 09:14:40+00:00,Entry
2023-02-23 09:14:43+00:00,Entry
2023-02-23 09:14:49+00:00,Entry
2023-02-23 09:15:00+00:00,Entry
2023-02-23 09:15:08+00:00,Entry
2023-02-23 09:15:23+00:00,Entry
2023-02-23 09:16:30+00:00,Entry
2023-02-23 09:17:09+00:00,Entry
2023-02-23 09:17:46+00:00,Entry
2023-02-23 09:18:39+00:00,Entry
2023-02-23 09:19:03+00:00,Entry
2023-02-23 09:19:15+00:00,Exit
2023-02-23 09:19:16+00:00,Entry
2023-02-23 09:19:30+00:00,Entry
2023-02-23 09:19:47+00:00,Exit
2023-02-23 09:20:05+00:00,Entry
2023-02-23 09:20:10+00:00,Exit
2023-02-23 09:20:28+00:00,Entry
2023-02-23 09:20:47+00:00,Entry
2023-02-23 09:20:59+00:00,Entry
2023-02-23 09:21:30+00:00,Entry
2023-02-23 09:21:34+00:00,Entry
2023-02-23 09:21:36+00:00,Entry
2023-02-23 09:21:40+00:00,Entry
2023-02-23 09:21:47+00:00,Entry
2023-02-23 09:22:04+00:00,Entry
2023-02-23 09:22:43+00:00,Entry
2023-02-23 09:23:45+00:00,Entry
2023-02-23 09:24:54+00:00,Entry
2023-02-23 09:25:26+00:00,Entry
2023-02-23 09:26:16+00:00,Entry
2023-02-23 09:26:31+00:00,Exit
2023-02-23 09:26:32+00:00,Exit
2023-02-23 09:27:07+00:00,Entry
2023-02-23 09:27:11+00:00,Entry
2023-02-23 09:27:14+00:00,Entry
2023-02-23 09:27:15+00:00,Entry
2023-02-23 09:27:17+00:00,Entry
2023-02-23 09:27:18+00:00,Exit
2023-02-23 09:27:33+00:00,Entry
2023-02-23 09:27:33+00:00,Entry
