Datetime,Device Code,Direction
2023-04-12T23:24:03Z,RT046205,Entry
2023-04-13T00:25:35Z,RT046205,Entry
2023-04-13T00:33:41Z,RT061806,Exit
2023-04-13T00:57:25Z,LBCTR,Entry
2023-04-13T00:57:43Z,RT046203,Entry
2023-04-13T00:58:15Z,RT046203,Entry
2023-04-13T00:58:21Z,RT046203,Entry
2023-04-13T00:58:43Z,LBCTR,Entry
2023-04-13T00:58:59Z,RT046201,Entry
2023-04-13T00:59:07Z,RT046205,Entry
2023-04-13T01:00:14Z,RT046203,Entry
2023-04-13T01:01:17Z,RT046201,Entry
2023-04-13T01:01:51Z,LBCTR,Entry
2023-04-13T01:02:17Z,RT046205,Entry
2023-04-13T01:03:32Z,RT046205,Entry
2023-04-13T01:03:56Z,LBCTR,Entry
2023-04-13T01:05:39Z,RT046206,Exit
2023-04-13T01:06:07Z,RT046205,Entry
2023-04-13T01:06:46Z,RT046201,Entry
2023-04-13T01:07:31Z,RT046201,Entry
2023-04-13T01:12:11Z,RT046203,Entry
2023-04-13T01:12:43Z,RT046202,Exit
2023-04-13T01:13:06Z,RT046205,Entry
2023-04-13T01:13:16Z,RT046203,Entry
2023-04-13T01:14:39Z,RT046206,Exit
2023-04-13T01:15:53Z,RT046203,Entry
2023-04-13T01:16:29Z,RT046206,Exit
2023-04-13T01:16:51Z,RT046205,Entry
2023-04-13T01:17:02Z,RT046205,Entry
2023-04-13T01:17:03Z,LBCTR,Entry
2023-04-13T01:17:19Z,LBCTR,Entry
2023-04-13T01:18:51Z,RT046205,Entry
2023-04-13T01:19:32Z,RT046203,Entry
2023-04-13T01:20:39Z,RT046205,Entry
2023-04-13T01:23:50Z,RT046206,Exit
2023-04-13T01:25:46Z,RT046201,Entry
2023-04-13T01:25:58Z,RT046203,Entry
2023-04-13T01:27:34Z,RT046201,Entry
2023-04-13T01:28:48Z,RT046205,Entry
2023-04-13T01:28:54Z,RT046205,Entry
2023-04-13T01:29:46Z,LBCTR,Entry
2023-04-13T01:32:03Z,LBCTR,Entry
2023-04-13T01:32:23Z,RT046205,Entry
2023-04-13T01:32:34Z,RT046205,Entry
2023-04-13T01:32:40Z,RT046205,Entry
2023-04-13T01:34:07Z,RT046203,Entry
2023-04-13T01:35:18Z,RT046201,Entry
2023-04-13T01:36:06Z,RT046204,Exit
2023-04-13T01:40:11Z,RT046205,Entry
2023-04-13T01:40:17Z,RT046205,Entry
2023-04-13T01:40:53Z,RT046205,Entry
2023-04-13T01:41:49Z,LBCTR,Entry
2023-04-13T01:42:42Z,RT046205,Entry
2023-04-13T01:44:17Z,LBCTR,Entry
2023-04-13T01:45:27Z,LBCTR,Entry
2023-04-13T01:46:26Z,RT046203,Entry
2023-04-13T01:46:33Z,RT046202,Exit
2023-04-13T01:46:52Z,RT046205,Entry
2023-04-13T01:48:43Z,RT061805,Entry
2023-04-13T01:48:46Z,RT046205,Entry
2023-04-13T01:49:36Z,RT046203,Entry
2023-04-13T01:54:10Z,RT061801,Entry
2023-04-13T01:54:16Z,RT046205,Entry
2023-04-13T01:54:32Z,LBCTR,Exit
2023-04-13T01:54:43Z,LBCTR,Entry
2023-04-13T01:57:12Z,RT046204,Exit
2023-04-13T01:58:51Z,RT046203,Entry
2023-04-13T01:59:00Z,LBCTR,Exit
2023-04-13T01:59:01Z,RT029301,Entry
2023-04-13T02:00:06Z,LBCTR,Exit
2023-04-13T02:02:09Z,RT046204,Exit
2023-04-13T02:02:42Z,RT046205,Entry
2023-04-13T02:03:03Z,RT046205,Entry
2023-04-13T02:05:16Z,RT046206,Exit
2023-04-13T02:05:22Z,RT046201,Entry
2023-04-13T02:05:59Z,RT061801,Entry
2023-04-13T02:07:12Z,RT029302,Exit
2023-04-13T02:07:27Z,RT061806,Exit
2023-04-13T02:08:10Z,RT061805,Entry
2023-04-13T02:08:22Z,RT061801,Entry
2023-04-13T02:09:21Z,RT046205,Entry
2023-04-13T02:09:45Z,RT029306,Exit
2023-04-13T02:11:02Z,RT061806,Exit
2023-04-13T02:11:06Z,LBCHN,Exit
2023-04-13T02:12:20Z,LBCHN,Exit
2023-04-13T02:12:49Z,RT046203,Entry
2023-04-13T02:14:10Z,LBCTR,Entry
2023-04-13T02:14:40Z,RT061801,Entry
2023-04-13T02:14:42Z,RT046205,Entry
2023-04-13T02:16:28Z,RT029301,Entry
2023-04-13T02:17:42Z,RT046201,Entry
2023-04-13T02:17:59Z,LBCHN,Entry
2023-04-13T02:20:14Z,RT029305,Entry
2023-04-13T02:21:04Z,RT046205,Entry
2023-04-13T02:27:11Z,RT046205,Entry
2023-04-13T02:28:18Z,RT029306,Exit
2023-04-13T02:28:39Z,LBCTR,Entry
2023-04-13T02:30:19Z,LBCTR,Entry
2023-04-13T02:31:37Z,RT046205,Entry
2023-04-13T02:32:36Z,RT046205,Entry
2023-04-13T02:32:45Z,RT061806,Exit
2023-04-13T02:34:54Z,RT046205,Entry
2023-04-13T02:36:18Z,RT061801,Entry
2023-04-13T02:36:46Z,RT046204,Exit
2023-04-13T02:37:18Z,RT046203,Entry
2023-04-13T02:38:30Z,RT029301,Entry
2023-04-13T02:39:49Z,LBCTR,Exit
2023-04-13T02:40:37Z,RT029305,Entry
2023-04-13T02:41:22Z,RT046202,Exit
2023-04-13T02:42:56Z,RT061805,Entry
2023-04-13T02:43:01Z,RT061801,Entry
2023-04-13T02:43:13Z,RT061805,Entry
2023-04-13T02:44:55Z,RT061805,Entry
2023-04-13T02:44:55Z,RT061802,Exit
2023-04-13T02:45:13Z,RT061806,Exit
2023-04-13T02:46:22Z,RT061805,Entry
2023-04-13T02:46:25Z,RT061801,Entry
2023-04-13T02:47:51Z,RT061802,Exit
2023-04-13T02:49:01Z,RT046206,Exit
2023-04-13T02:49:57Z,RT029302,Exit
2023-04-13T02:50:11Z,LBCTR,Exit
2023-04-13T02:50:23Z,RT061806,Exit
2023-04-13T02:51:08Z,LBCTR,Entry
2023-04-13T02:51:32Z,RT029302,Exit
2023-04-13T02:52:27Z,RT061806,Exit
2023-04-13T02:52:28Z,RT046201,Entry
2023-04-13T02:52:51Z,RT029305,Entry
2023-04-13T02:55:08Z,LBCTR,Exit
2023-04-13T02:55:33Z,RT061806,Exit
2023-04-13T02:56:15Z,LBCTR,Entry
2023-04-13T02:56:27Z,RT061802,Exit
2023-04-13T02:58:06Z,RT046206,Exit
2023-04-13T02:58:21Z,LBCHN,Exit
2023-04-13T02:58:23Z,LBCHN,Entry
2023-04-13T02:58:26Z,RT061805,Entry
2023-04-13T02:59:16Z,RT061806,Exit
2023-04-13T02:59:35Z,LBCTR,Exit
